"Step","env_name: myoLegWalkT2Apca0-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2Apca0-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2Apca0-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MAX"
"2871","1283.3663","1283.3663","1283.3663","1574.3262","1574.3262","1574.3262"
"2884","1321.8901","1321.8901","1321.8901","1598.8807","1598.8807","1598.8807"
"2897","1308.7932","1308.7932","1308.7932","1593.9138","1593.9138","1593.9138"
"2910","1318.3112","1318.3112","1318.3112","1559.467","1559.467","1559.467"
"2923","1316.9354","1316.9354","1316.9354","1564.8612","1564.8612","1564.8612"
"2936","1337.8949","1337.8949","1337.8949","1612.8561","1612.8561","1612.8561"
"2949","1320.65","1320.65","1320.65","1629.0173","1629.0173","1629.0173"
"2962","1327.8247","1327.8247","1327.8247","1620.4136","1620.4136","1620.4136"
"2975","1329.7673","1329.7673","1329.7673","1609.7775","1609.7775","1609.7775"
"2988","1339.9514","1339.9514","1339.9514","1626.3553","1626.3553","1626.3553"
"3001","1350.8494","1350.8494","1350.8494","1639.8348","1639.8348","1639.8348"
"3014","1326.9698","1326.9698","1326.9698","1633.107","1633.107","1633.107"
"3027","1350.6791","1350.6791","1350.6791","1654.4547","1654.4547","1654.4547"
"3040","1350.4781","1350.4781","1350.4781","1616.3451","1616.3451","1616.3451"
"3053","1348.1287","1348.1287","1348.1287","1670.8191","1670.8191","1670.8191"
"3066","1339.6371","1339.6371","1339.6371","1677.1229","1677.1229","1677.1229"
"3079","1354.7168","1354.7168","1354.7168","1633.2551","1633.2551","1633.2551"
"3092","1365.3966","1365.3966","1365.3966","1679.9637","1679.9637","1679.9637"
"3105","1375.3175","1375.3175","1375.3175","1723.7257","1723.7257","1723.7257"
"3118","1374.5569","1374.5569","1374.5569","1701.1852","1701.1852","1701.1852"
"3131","1398.4675","1398.4675","1398.4675","1714.9163","1714.9163","1714.9163"
"3144","1383.6587","1383.6587","1383.6587","1752.1089","1752.1089","1752.1089"
"3157","1388.2411","1388.2411","1388.2411","1687.5126","1687.5126","1687.5126"
